Mã hàng	ĐVT	Tên hàng
338960	Bộ	BD FACSCanto II Cytometer 4/2 System IVD
338978	Cái	Cảm biến máy Canto/Canto II (7-Pin)
338979	Cái	Cảm biến máy Canto/Canto II (6-Pin)
339074	Bộ	Cable FSC máy Canto II
339217	Lọ	CD117 (104D2)PE- CyTM7
339637	Bộ	Đầu nối dùng để cắm cảm biến bình sheat máy Canto / Canto II
339638	Cái	Đầu nối dùng để cắm cảm biến bình thải máy Canto / Canto II
340183	Hộp	HLA-B27 Kit Tests IVD
340334	Hộp	Trucount Absolute Counting Tubes US IVD
340345	Thùng	BD FACS Clean Solution 5L
340410	Lọ	CD56 FITC NCAM16.2 50 Test RUO/GMP
340437	Lọ	CD19 APC SJ25C1 100 Test RUO/GMP
340495	Hộp	Quantibrite PE Beads 10 Tubes
340499	Lọ	Multitest CD3/CD8/CD45/CD4 50 Tests IVD
340500	Lọ	Multitest CD3/CD16+CD56/CD45/CD19 IVD
340533	Lọ	CD33 FITC P67.6 50 Test RUO/GMP
340545	Lọ	CD123 PE 9F5 50 Test RUO/GMP
340768	Lọ	Quantibrite CD64 PE/CD45 PerCP MD22/2D1
340827	Lọ	Quantibrite HLA-DR PE/Mono PerCP-Cy5.5
340909	Lọ	CD38 (HB-7) FITC
340925	Lọ	CD10 FITC HI10a 50 Test RUO/GMP
340991	Hộp	BD Stem Cell Control Kit: 2 x 2mL (1-CD34+Low, 1-CD34+High)
341027	Lọ	CD56 (NCAM 16.2) APC
341091	Lọ	CD3 PE-Cy7 SK7 100 Test RUO/GMP
341108	Lọ	Anti-Kappa APC CE
341109	Lọ	CD5 PerCP-Cy5.5 CE
341113	Lọ	CD 19 PE-Cy7 CE
341650	Lọ	CD33 PerCP-Cy5.5 P67.6 50 Test RUO/GMP
342003	Thùng	BD FACSFlow Sheath Fluid 20L
34334637	Cái	PCB Assembly Fluidics Driver Service
343508	Cái	Đầu nối 1/16 máy Canto/Canto II
343509	Cái	Vòng đệm Flowcell cho máy Canto/CantoII/Calibur
